DateTime,AddedIPs,RemovedIPs
1495346519,0,2
1495347150,0,1
1495348578,0,1
1495352207,0,4
1495356527,0,1
1495358651,0,3
1495359390,0,1
1495360097,0,1
1495360903,1,1
1495361553,0,1
1495362266,1,1
1495363744,0,1
1495365875,0,2
1495366577,0,1
1495368998,0,1
1495370436,0,2
1495371878,0,1
1495372572,0,1
1495374020,0,1
1495374775,0,1
1495375723,0,1
1495379297,0,1
1495381468,0,3
1495382917,0,3
1495385051,0,1
1495387247,0,1
1495388666,0,2
1495392522,0,1
1495395398,0,3
1495396134,0,1
1495398272,0,1
1495399722,0,1
1495401153,0,1
1495404811,0,2
1495407431,0,3
1495408377,0,1
1495409599,0,2
1495411759,0,1
1495414598,0,2
1495416767,0,1
1495417473,0,1
1495418180,0,1
1495420367,0,1
1495421798,0,1
1495426359,0,2
1495428511,0,1
1495432961,23,0
1495433795,0,1
1495439563,0,1
1495440528,3,0
1495441212,7,0
1495441963,9,1
1495442648,15,0
1495443403,21,0
1495444102,8,0
1495444841,50,1
1495445550,0,1
1495446270,1,0
1495446977,13,0
1495447721,1,0
1495448414,17,0
1495449156,6,0
1495449851,4,1
1495450595,4,0
1495451298,14,0
1495452044,1,1
1495452769,16,1
1495453467,9,0
1495454923,28,0
1495455629,16,0
1495456368,7,1
1495458767,1,1
1495459449,0,1
1495463289,0,1
1495464738,0,1
1495465725,18,1
1495466426,1,1
1495467135,1,0
1495467867,14,0
1495468577,13,0
1495469818,6,0
1495470488,22,0
1495471243,9,0
1495471939,14,0
1495472668,25,0
1495473375,7,0
1495474107,16,0
1495474819,9,1
1495475565,8,1
1495476779,13,0
1495477461,11,0
1495478217,11,0
1495479172,14,0
1495480123,2,0
1495480824,3,0
1495481567,21,0
1495482248,5,0
1495483001,12,1
1495483703,12,12
1495484436,4,14
1495485163,28,1
1495485865,2,1
1495486574,24,0
1495487292,7,8
1495488052,9,1
1495488745,4,0
1495489466,3,0
1495490527,7,1
1495491193,12,1
1495492165,4,0
1495493080,1,0
1495493776,11,1
1495494501,19,0
1495495230,2,1
1495495951,14,1
1495496664,19,3
1495498106,1,1
1495498837,6,0
1495499540,0,1
1495500265,8,3
1495500976,5,1
1495501728,5,1
1495502413,13,0
1495503156,2,1
1495503848,3,0
1495504600,1,1
1495505299,6,1
1495506038,3,0
1495506745,3,0
1495507466,6,0
1495508169,4,2
1495508900,5,0
1495509650,4,2
1495510350,3,2
1495511064,2,2
1495511773,3,0
1495512527,4,0
1495513213,2,0
1495514645,1,5
1495515388,1,0
1495516844,1,0
1495517546,2,0
1495518278,6,2
1495518971,3,0
1495519717,2,0
1495520410,1,2
1495521159,2,0
1495521850,4,1
1495522596,6,0
1495524744,0,1
1495525473,0,1
1495530099,0,1
1495530764,0,1
1495532191,0,1
1495535297,0,1
1495539888,0,1
1495542747,0,59
1495547778,0,1
1495551388,0,2
1495554265,0,1
1495557140,0,1
1495560762,0,3
1495562923,0,2
1495563889,0,1
1495564571,0,1
1495566765,11,3
1495567458,0,1
1495568197,0,2
1495568895,0,1
1495569700,0,1
1495571076,0,2
1495571778,4,3
1495572518,5,0
1495573311,2,0
1495573964,4,1
1495574653,5,0
1495575642,1,3
1495576329,2,0
1495577317,9,0
1495578015,4,0
1495578766,6,1
1495579456,0,3
1495580189,0,3
1495580921,2,1
1495581614,3,1
1495582375,1,1
1495583047,0,1
1495584496,6,0
1495585231,2,0
1495585939,1,1
1495586669,1,1
1495587371,11,4
1495588097,13,0
1495588841,6,3
1495589546,2,0
1495590265,5,2
1495591698,6,2
1495592442,5,0
1495593151,0,5
1495593865,0,1
1495595324,0,1
1495596756,0,1
1495598206,0,2
1495599634,0,2
1495601072,0,1
1495601777,0,1
1495602507,0,9
1495603232,0,3
1495603943,0,1
1495604665,0,3
1495605376,0,1
1495606850,0,1
1495607544,0,1
1495610208,0,1
1495610892,0,1
1495611640,0,2
1495614038,0,1
1495614746,0,1
1495616182,0,1
1495619790,0,1
1495622669,0,1
1495623370,0,1
1495624125,0,1
1495625569,0,1
1495626992,0,3
1495627697,0,1
1495632253,0,1
1495634685,0,107
1495661052,19,0
1495661793,1,0
1495662498,1,0
1495663349,9,0
1495664896,1,0
1495665659,2,0
1495667776,4,0
1495669483,6,0
1495670905,2,0
1495671618,3,0
1495673047,4,0
1495673806,12,0
1495674493,12,0
1495675248,4,0
1495675950,2,0
1495676673,2,0
1495677380,6,0
1495678119,1,0
1495679561,2,0
1495680998,4,0
1495681698,8,0
1495682441,1,0
1495683148,1,0
1495683865,5,0
1495684572,11,0
1495685298,7,0
1495686039,3,0
1495686746,5,0
1495687470,5,0
1495688180,8,0
1495690363,1,0
1495691055,5,0
1495842973,21,0
1495850902,20,0
1495852333,6,0
1495853071,20,0
1495853772,3,0
1495854520,1,0
1495855945,5,0
1495856664,2,0
1495858099,9,0
1495858843,5,0
1495859566,9,0
1495860268,4,0
1495860969,9,0
1495861693,12,0
1495862440,7,0
1495863134,6,0
1495863865,3,0
1495864584,22,0
1495865305,7,0
1495866037,6,0
1495866748,8,0
1495867473,9,0
1495868176,3,0
1495868892,0,1
1495869640,3,0
1495870343,7,0
1495873240,0,1
1495876131,0,4
1495879701,0,1
1495885453,0,1
1495887635,0,1
1495889781,0,1
1495892670,0,3
1495893378,0,1
